depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%F	|30%F	|20%F	|10%F
01	|0.1	|0.13	|0.09	|0.08	|0.09	|0.09	|0.08	|0.09	|0.09	|0.1
02	|0.08	|0.08	|0.09	|0.08	|0.09	|0.09	|0.06	|0.11	|0.08	|0.09
03	|0.1	|0.07	|0.1	|0.09	|0.07	|0.09	|0.1	|0.1	|0.09	|0.09
04	|0.08	|0.09	|0.1	|0.09	|0.09	|0.09	|0.09	|0.07	|0.08	|0.09
05	|5.19	|5.29	|5.24	|4.9	|5.22	|4.66	|4.86	|0.68	|0.1	|0.09
06	|16.79	|16.64	|16.63	|17.31	|18.13	|14.07	|12.55	|0.85	|-	|-
07	|-	|-	|-	|-	|-	|-	|65.16	|1.02	|-	|-
08	|-	|-	|-	|-	|-	|-	|253.87	|1.34	|-	|-
09	|-	|-	|-	|-	|-	|-	|825.86	|1.51	|-	|-
10	|-	|-	|-	|-	|-	|-	|1916.7	|1.69	|-	|-
