depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%F	|10%F
01	|0.12	|0.09	|0.1	|0.09	|0.1	|0.11	|0.1	|0.09	|0.1	|0.09
02	|0.11	|0.1	|0.1	|0.1	|0.1	|0.09	|0.07	|0.08	|0.09	|0.1
03	|0.09	|0.1	|0.11	|0.1	|0.07	|0.11	|0.09	|0.11	|0.09	|0.08
04	|1.15	|1.38	|1.1	|1.04	|1.04	|1.03	|0.97	|0.94	|0.68	|0.09
05	|-	|-	|-	|-	|-	|-	|-	|-	|0.96	|-
06	|-	|-	|-	|-	|-	|-	|-	|-	|1.2	|-
07	|-	|-	|-	|-	|-	|-	|-	|-	|1.43	|-
08	|-	|-	|-	|-	|-	|-	|-	|-	|1.57	|-
09	|-	|-	|-	|-	|-	|-	|-	|-	|2.0	|-
10	|-	|-	|-	|-	|-	|-	|-	|-	|2.56	|-
