depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%S	|10%F
01	|0.11	|0.12	|0.12	|0.12	|0.11	|0.12	|0.11	|0.11	|0.14	|0.11
02	|0.1	|0.11	|0.13	|0.1	|0.09	|0.09	|0.11	|0.09	|0.11	|0.1
03	|0.11	|0.1	|0.14	|0.1	|0.09	|0.11	|0.1	|0.12	|0.08	|0.1
04	|0.1	|0.12	|0.11	|0.11	|0.12	|0.1	|0.1	|0.12	|0.1	|0.12
05	|0.11	|0.08	|0.11	|0.12	|0.11	|0.11	|0.11	|0.11	|0.11	|0.1
06	|0.11	|0.1	|0.11	|0.11	|0.12	|0.1	|0.11	|0.1	|0.1	|0.09
07	|0.12	|0.11	|0.11	|0.11	|0.09	|0.11	|0.09	|0.09	|0.08	|0.11
08	|0.1	|0.12	|0.11	|0.09	|0.1	|0.11	|0.11	|0.12	|0.09	|0.11
09	|0.12	|0.1	|0.1	|0.11	|0.1	|0.09	|0.11	|0.12	|0.1	|0.11
10	|820.74	|639.46	|696.44	|208.21	|266.75	|530.12	|550.46	|706.85	|237.07	|0.14
