depth,100%S,90%S,80%S,70%S,60%S,50%S,40%F,30%F,20%F,10%F
01,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09
02,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09
03,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.08,0.09,0.08
04,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09
05,4.09,3.93,3.98,4.02,3.89,4.03,3.45,3.71,0.1,0.09
06,9.29,7.33,7.58,6.99,7.58,6.62,6.19,6.42,,
07,14.25,16.06,14.41,16.15,13.79,14.53,11.11,10.05,,
08,21.78,23.68,21.38,24.89,19.89,24.67,25.24,14.11,,
09,57.91,44.43,40.18,34.65,40.48,44.93,40.57,21.13,,
10,80.87,63.72,72.3,61.85,90.09,81.39,69.48,30.88,,
