depth,100%S,90%S,80%S,70%S,60%S,50%S,40%S,30%F,20%F,10%F
01,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.09
02,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
03,0.09,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.09
04,0.09,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1
05,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09
06,18.98,19.1,20.98,20.25,20.16,23.15,20.32,19.97,0.1,0.1
07,54.41,87.87,73.83,77.56,63.85,59.24,66.63,61.67,,
08,232.47,229.66,211.63,201.71,210.57,190.79,219.92,176.53,,
09,841.46,660.9,766.83,761.93,773.42,943.81,813.94,563.81,,
10,1610.3,1489.3,2018.7,2230.6,1301.7,1678.5,3212.4,869.45,,
