|depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%F	|30%F	|20%F	|10%F	|
|01	|0.1	|0.11	|0.1	|0.1	|0.1	|0.1	|0.1	|0.1	|0.09	|0.09	|
|02	|0.09	|0.09	|0.1	|0.09	|0.09	|0.09	|0.09	|0.09	|0.08	|0.09	|
|03	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|
|04	|0.09	|0.1	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|
|05	|5.23	|4.78	|5.3	|5.35	|4.89	|4.99	|4.92	|3.23	|0.1	|0.1	|
|06	|13.47	|15.7	|14.42	|14.61	|14.69	|15.53	|15.58	|5.04	|-	|-	|
|07	|-	|-	|-	|-	|-	|-	|48.42	|6.78	|-	|-	|
|08	|-	|-	|-	|-	|-	|-	|171.6	|9.13	|-	|-	|
|09	|-	|-	|-	|-	|-	|-	|443.13	|11.86	|-	|-	|
|10	|-	|-	|-	|-	|-	|-	|1624.5	|14.71	|-	|-	|
