|depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%F	|10%F	|
|01	|0.11	|0.1	|0.1	|0.1	|0.1	|0.1	|0.09	|0.1	|0.1	|0.09	|
|02	|0.09	|0.09	|0.09	|0.1	|0.09	|0.1	|0.1	|0.1	|0.09	|0.09	|
|03	|0.1	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.1	|0.09	|0.1	|
|04	|1.13	|1.19	|1.1	|1.09	|1.04	|1.03	|1.0	|0.99	|0.69	|0.1	|
|05	|-	|-	|-	|-	|-	|-	|-	|-	|0.92	|-	|
|06	|-	|-	|-	|-	|-	|-	|-	|-	|1.16	|-	|
|07	|-	|-	|-	|-	|-	|-	|-	|-	|1.45	|-	|
|08	|-	|-	|-	|-	|-	|-	|-	|-	|1.65	|-	|
|09	|-	|-	|-	|-	|-	|-	|-	|-	|2.07	|-	|
|10	|-	|-	|-	|-	|-	|-	|-	|-	|2.51	|-	|
