|depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%S	|10%F	|
|01	|0.12	|0.12	|0.11	|0.11	|0.12	|0.11	|0.11	|0.12	|0.11	|0.11	|
|02	|0.11	|0.11	|0.11	|0.11	|0.11	|0.1	|0.11	|0.11	|0.1	|0.11	|
|03	|0.11	|0.11	|0.1	|0.11	|0.11	|0.1	|0.11	|0.1	|0.1	|0.1	|
|04	|0.11	|0.1	|0.11	|0.1	|0.11	|0.1	|0.11	|0.11	|0.1	|0.1	|
|05	|0.11	|0.1	|0.1	|0.1	|0.11	|0.11	|0.11	|0.11	|0.1	|0.1	|
|06	|0.11	|0.11	|0.11	|0.11	|0.11	|0.11	|0.11	|0.1	|0.1	|0.1	|
|07	|0.1	|0.1	|0.1	|0.11	|0.11	|0.11	|0.11	|0.1	|0.1	|0.1	|
|08	|0.1	|0.11	|0.1	|0.11	|0.1	|0.11	|0.1	|0.11	|0.1	|0.11	|
|09	|0.11	|0.1	|0.1	|0.11	|0.1	|0.11	|0.11	|0.1	|0.11	|0.11	|
|10	|899.65	|518.01	|292.12	|94.63	|402.24	|259.35	|317.17	|550.42	|303.18	|0.15	|
